Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
2b212ec4ed487cbe461ba4e7d2af158aa5943f36,bug fix,['33d0cfb5971ab4230c7fe7dacc7c5585c3dec874'],False,"['__init__.pyc', '_compatibility.pyc', '__init__.pyc', 'classes.pyc', 'helpers.pyc', 'interpreter.pyc', 'keywords.pyc', 'usages.pyc', 'cache.pyc', 'common.pyc', 'debug.pyc', '__init__.pyc', 'analysis.pyc', 'cache.pyc', '__init__.pyc', 'fake.pyc', 'docstrings.pyc', 'dynamic.pyc', 'finder.pyc', 'flow_analysis.pyc', 'helpers.pyc', 'imports.pyc', 'iterable.pyc', 'param.pyc', 'precedence.pyc', 'recursion.pyc', 'representation.pyc', 'stdlib.pyc', 'sys_path.pyc', '__init__.pyc', 'fast.pyc', '__init__.pyc', 'grammar.pyc', 'parse.pyc', 'pgen.pyc', 'token.pyc', 'tokenize.pyc', 'tree.pyc', 'user_context.pyc', 'settings.pyc', 'hoverProvider.ts']"
b59106c83281c953aec6e8676e6f2b4d9ca50254,Refactored and added support for debugging,['7ac421a8b827933c538acb6799298b2554f8845f'],False,"['.gitignore', 'launch.json', 'README.md', '_compatibility.pyc', 'keywords.pyc', 'common.pyc', 'debug.pyc', 'analysis.pyc', '__init__.pyc', 'flow_analysis.pyc', 'helpers.pyc', 'iterable.pyc', 'param.pyc', 'precedence.pyc', 'recursion.pyc', 'representation.pyc', 'stdlib.pyc', '__init__.pyc', 'tree.pyc', 'user_context.pyc', 'package.json', 'completion.py', '.DS_Store', '__init__.py', '__init__.pyc', '__main__.py', '_compatibility.py', '_compatibility.pyc', '__init__.py', '__init__.pyc', 'classes.py', 'classes.pyc', 'helpers.py', 'helpers.pyc', 'interpreter.py', 'interpreter.pyc', 'keywords.py', 'keywords.pyc', 'replstartup.py', 'usages.py', 'usages.pyc', 'cache.py', 'cache.pyc', 'common.py', 'common.pyc', 'debug.py', 'debug.pyc', '__init__.py', '__init__.pyc', 'analysis.py', 'analysis.pyc', 'cache.py', 'cache.pyc', '__init__.py', '__init__.pyc', 'fake.py', 'fake.pyc', '_functools.pym', '_sqlite3.pym', '_sre.pym', '_weakref.pym', 'builtins.pym', 'datetime.pym', 'io.pym', 'posix.pym', 'docstrings.py', 'docstrings.pyc', 'dynamic.py', 'dynamic.pyc', 'finder.py', 'finder.pyc', 'flow_analysis.py', 'flow_analysis.pyc', 'helpers.py', 'helpers.pyc', 'imports.py', 'imports.pyc', 'iterable.py', 'iterable.pyc', 'param.py', 'param.pyc', 'precedence.py', 'precedence.pyc', 'recursion.py', 'recursion.pyc', 'representation.py', 'representation.pyc', 'stdlib.py', 'stdlib.pyc', 'sys_path.py', 'sys_path.pyc', '__init__.py', '__init__.pyc', 'fast.py', 'fast.pyc', 'grammar2.7.txt', 'grammar3.4.txt', '__init__.py', '__init__.pyc', 'grammar.py', 'grammar.pyc', 'parse.py', 'parse.pyc', 'pgen.py', 'pgen.pyc', 'token.py', 'token.pyc', 'tokenize.py', 'tokenize.pyc', 'tree.py', 'tree.pyc', 'user_context.py', 'user_context.pyc', 'refactoring.py', 'settings.py', 'settings.pyc', 'utils.py', '.gitignore', 'launch.json', 'settings.json', 'tasks.json', '.vscodeignore', 'main.ts', 'pdb.ts', 'debuggerOld.ts', 'extension.ts', 'languageClient.ts', 'package.json', 'completionProvider.ts', 'definitionProvider.ts', 'hoverProvider.ts', 'jediProxy.ts', 'referenceProvider.ts', 'renameProvider.ts', 'signatureProvider.ts', 'tsconfig.json', 'node.d.ts', 'pty.js.d.ts', 'vscode-typings.d.ts', 'debugger.ts', '.gitignore', 'launch.json', 'tasks.json', 'package.json', 'server.ts', 'tsconfig.json', 'node.d.ts', 'pty.js.d.ts', 'vscode-typings.d.ts', 'extension.test.ts', 'index.ts', 'tsconfig.json']"
dfc7558c4bf203f5abb03339f15d466f2705cc99,fixed issue where debugger woudn't work due to stdin of hosting process,['b41cf87cf12ba8a7e146e8439138d7fb0117cf9e'],False,"['main.ts', 'pdb.ts']"
12672ab7f98b7d8a8022857a467b30880b6517b6,"updated debugging, added linting, formatting and sorting of imports",['d99d0c4ac42a21571fca78d1dd2f106888e521e1'],False,"['README.md', 'package.json', '__init__.py', 'hooks.py', 'isort.py', 'main.py', 'natural.py', 'pie_slice.py', 'pylama_isort.py', 'settings.py', 'sortImports.py', 'main.ts', 'pdb.ts', 'extension.ts', 'languageClient.ts', 'package.json', 'autoPep8FormatProvider.ts', 'importSortProvider.ts', 'jediProxy.ts', 'sortImports.ts', 'linter.ts', 'pylint.ts', 'package.json', 'server.ts', 'pty.js.d.ts']"
662e0518f42fb616bdec4c8206f7deed4b105dab,added snippets and fixed language server linting,['e548e1b7a45d342689eb36a4f329fa3573624954'],False,"['package.json', 'python.json', 'languageClient.ts', 'macLintProvider.ts', 'yapfFormatPovider.ts', 'pylint.ts', 'server.ts']"
9535c916afa6dcb7299ce1011d03f40f67b1ea2c,"Unit testing, debugger fix and flake8",['522e2d6821ad62158391e43b6a19e7af5c1d98fa'],False,"['launch.json', 'README.md', 'package.json', 'unittest.py', 'childProc.ts', 'configSettings.ts', 'commandRunner.ts', 'common.ts', 'debuggerMain.ts', 'main.ts', 'pdb.ts', 'pdbRunner.ts', 'extension.ts', 'autoPep8Formatter.ts', 'baseFormatter.ts', 'yapfFormatter.ts', 'languageClient.ts', 'baseLinter.ts', 'flake8.ts', 'pep8Linter.ts', 'pylint.ts', 'autoPep8FormatProvider.ts', 'completionProvider.ts', 'definitionProvider.ts', 'formatProvider.ts', 'hoverProvider.ts', 'indentFormatProvider.ts', 'jediProxy.ts', 'lintProvider.ts', 'macLintProvider.ts', 'referenceProvider.ts', 'renameProvider.ts', 'signatureProvider.ts', 'symbolProvider.ts', 'testprovider.ts', 'yapfFormatPovider.ts', 'sortImports.ts', 'tsconfig.json', 'baseTestRunner.ts', 'nosetests.ts', 'unittest.ts', 'tsconfig.json', 'tsconfig.json']"
cf8fc0437a9d1fb222b2e9817143b4ccc790ad7f,Fixed issue with unit testing,['9535c916afa6dcb7299ce1011d03f40f67b1ea2c'],False,"['childProc.ts', 'baseTestRunner.ts', 'nosetests.ts', 'unittest.ts']"
4b7c82bab954e07609c1904cad25383b4fbad4f8,fixed linting of pylint,['a42e1e041dc5b3650e009a2f20f01d7dc5c4f1d3'],False,"['README.md', 'package.json', 'configSettings.ts', 'baseLinter.ts']"
c13989848f4e4af6622933246cca7160bde7e02c,"improved debugging on windows, passing of custom python path to debugger, support relative paths for custom paths in auto complete",['88c6853b08445cedb23ccc8154507f007baeeac5'],False,"['launch.json', 'README.md', 'flaskDebugging.gif', 'standardDebugging.gif', 'package.json', 'visualstudio_ipython_repl.py', 'visualstudio_py_debugger.py', 'visualstudio_py_launcher.py', 'visualstudio_py_repl.py', 'visualstudio_py_util.py', 'commandRunner.ts', 'common.ts', 'debuggerMain.ts', 'main.ts', 'pdb.ts', 'pdbRunner.ts', 'BufferReader.ts', 'BufferUtils.ts', 'Contracts.ts', 'SocketStream.ts', 'Utils.ts', 'ProxyCommands.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts', 'VSDebugger.ts', 'baseFormatter.ts', 'package.json', 'jediProxy.ts']"
767e4a7d733da3772348bd68932c5a76647bc7d0,Fixed debugging for Mac,['18bda9064fd589e7e3a39403cdfb2c2a43f42ffe'],False,"['README.md', 'package.json', 'BufferReader.ts', 'BufferUtils.ts', 'SocketStream.ts', 'VSDebugger.ts', 'package.json', 'vsc-extension-quickstart.md']"
